"bugID";"sd";"cl";"pd";"co";"rp";"os";"bs";"rs";"pr";"bsr"
"552613";"Junit test LeakTests.testSimpleWindowLeak fails in nightly build";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"NEW";;"P3";"normal"
"552616";"Filters dialog: several alignment errors";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"minor"
"552617";"[Cocoa] Test_org_eclipse_swt_custom_StyledText.test_setStyleRanges_render JUnit failure seen on MAC";"Eclipse Project";"Platform";"SWT";"PC";"Mac OS X";"VERIFIED";"FIXED";"P3";"normal"
"552618";"Error at the first code assistant request [cannot download model repository index]";"Eclipse Project";"Platform";"IDE";"PC";"Windows 10";"CLOSED";"WONTFIX";"P3";"minor"
"552619";"Deploy ecj compiler from I20191101-0300 and use it for 4.14 build";"Eclipse Project";"Platform";"Releng";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552620";"Investigate ""java builder"" removal from ApiAnalysisApplication";"Eclipse Project";"PDE";"API Tools";"PC";"Windows 7";"REOPENED";;"P3";"normal"
"552621";"Batch processing improvements";"Tools";"MAT";"GUI";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552622";"Wrong use of model object in staging view (RepositoryNode)";"Technology";"EGit";"UI";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"552623";"Please close PRs on CDT's github mirror";"Eclipse Foundation";"Community";"GitHub";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552624";"Jenkins instance for Eclipse Collections seems to be down or moved";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"WORKSFORME";"P3";"major"
"552625";"Update Tries To Create Sub-directory Incorrectly";"Tools";"Oomph";"P2 Management";"PC";"Windows 10";"RESOLVED";"WORKSFORME";"P3";"normal"
"552626";"Properties labels not displaying correctly";"Modeling";"Sirius";"Properties";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552628";"Can bots be added as a validated user on github for ECA purposes?";"Eclipse Foundation";"Community";"GitHub";"PC";"Linux";"NEW";;"P3";"normal"
"552629";"Jenkins for Eclipse Emf.Cloud";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552630";"Bug Launch Bar";"Eclipse Project";"Platform";"IDE";"PC";"Windows 7";"NEW";;"P3";"normal"
"552631";"JGit leaves files in state removed on remote file repo when pushing from another file repo";"Technology";"JGit";"JGit";"PC";"Linux";"CLOSED";"INVALID";"P3";"normal"
"552633";"Support rollback of new objects to their attach-time state";"Modeling";"EMF";"cdo.core";"PC";"Windows 7";"CLOSED";"FIXED";"P3";"enhancement"
"552634";"Please fix the problems associated with your simrel contribution";"Modeling";"Sirius";"Releng";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552635";"Mac notarization service is failing";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 7";"RESOLVED";"WORKSFORME";"P3";"major"
"552636";"Some files not refreshed after interactive rebase";"Technology";"JGit";"JGit";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552637";"Please remove me from eclipse-cdt";"Eclipse Foundation";"Community";"GitHub";"PC";"Mac OS X";"NEW";;"P3";"normal"
"552638";"Please fix the problems associated with your simrel contribution";"Modeling";"EMFCompare";"Core";"PC";"Windows 7";"CLOSED";"FIXED";"P3";"normal"
"552639";"[Tools] Application model editor should derive possible elements from the EMF Model";"Eclipse Project";"Platform";"UI";"All";"All";"NEW";;"P3";"enhancement"
"552640";"CCE in CommitMessageViewer when preferences are set to default";"Technology";"EGit";"UI";"PC";"All";"RESOLVED";"FIXED";"P3";"minor"
"552642";"Support reproducible builds by sorting generated javax.inject.Named index";"Technology";"Sisu";"Inject";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552643";"Import quickfix reorders all classes in room file";"Modeling";"eTrice";"UserInterface";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552644";"Create GitHub repository for eclipse-ee4j/glassfish-samples";"Eclipse Foundation";"Community";"Git";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552645";"NullPointerException in aspected code with two @Around annotations working together";"Tools";"AspectJ";"Runtime";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552647";"Cannot suspend nor stop gdb";"Eclipse Project";"PDE";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552648";"JDT Debug needs to react to ASM 7.2";"Eclipse Project";"JDT";"Debug";"All";"All";"VERIFIED";"FIXED";"P3";"normal"
"552649";"The resize hot zone is painfully small for the simple installer";"Tools";"Oomph";"Setup";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552650";"Include Eclipse Passage 0.7.0 M2 for SimRel 2019-12 M2";"Technology";"Passage";"General";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552651";"Content assist popup in TextCellEditor steals focus from cell editor";"Technology";"NatTable";"Core";"PC";"Windows All";"CLOSED";"FIXED";"P3";"normal"
"552652";"[Progress] Progress bar flicker on Windows";"Eclipse Project";"Platform";"UI";"PC";"Windows All";"RESOLVED";"FIXED";"P3";"normal"
"552653";"unchanged files shown as dirty";"Technology";"EGit";"UI";"PC";"Windows 10";"CLOSED";"DUPLICATE";"P3";"normal"
"552654";"[Dark theme] ProgressInfoItem and CompareViewerPane should inherit its color from its container";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552655";"[Dark Theme] Align ruler color with standard colors";"Eclipse Project";"Platform";"Text";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552656";"Migrate check composites script";"Eclipse Project";"Platform";"Releng";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552657";"Migrate old builds cleanup job to JIRO";"Eclipse Project";"Platform";"Releng";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552658";"URI Scheme registration doesn't work well on Mac";"Eclipse Project";"Platform";"UI";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"major"
"552659";"[MenuManagerRendererFilter] MenuManager contributed via menuContribution is disabled";"Eclipse Project";"Platform";"UI";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552660";"[Rule Model] Add condition indirection";"Modeling";"ECP";"EMF Forms";"All";"All";"NEW";;"P3";"enhancement"
"552661";"CatalogAttribute Unit is not set when loading from ODS.";"Automotive";"MDMBL";"General";"PC";"Windows 10";"ASSIGNED";;"P3";"normal"
"552662";"Find action should use Search style";"Eclipse Project";"Platform";"UI";"PC";"Linux";"REOPENED";;"P3";"normal"
"552663";"Exception in Find Actions for opening Layout Spy (from PDE)";"Eclipse Project";"Platform";"UI";"PC";"Linux";"NEW";;"P3";"normal"
"552664";"[TMF] ConcurrentModificationException in StateSystemDataProvider";"Tools";"Tracecompass";"TMF";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552665";"Unable to retrieve dependencies from Nexus Repository Manager using https protocol";"Eclipse Foundation";"z_Archived";"m2e";"PC";"Windows 7";"NEW";;"P3";"enhancement"
"552666";"Remove org.eclipse.e4.ui.css.core.utils.StringUtils#split()";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552667";"[DataBinding] Fluent binding API";"Eclipse Project";"Platform";"UI";"All";"All";"ASSIGNED";;"P3";"enhancement"
"552668";"Link method element clear button greyed out";"Technology";"EPF";"Tool";"Other";"Windows 7";"NEW";;"P3";"normal"
"552669";"[Model2Doc][ODT] The framework must allow insert image on landscape page and with the max possible size.";"Modeling";"Papyrus";"Model2Doc";"PC";"Windows 10";"ASSIGNED";;"P3";"normal"
"552670";"Add documentation for display of bytes in KB, MB, GB or Smart formats";"Tools";"MAT";"Doc";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552672";"When trying to ssh into projects-storage.eclipse.org the build hangs indefinitely";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552673";"Eclipse Foundation's IDE web page should be updated to show Theia";"Eclipse Foundation";"Community";"Website";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552674";"Apply a redirect for builds";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552675";"[xtext] ECA validation for PRs opened by genie bot fails";"Eclipse Foundation";"Community";"CI-Jenkins";"All";"Mac OS X";"CLOSED";"DUPLICATE";"P3";"normal"
"552676";"EGit does not allow pull, staging or push with Virtual Box shared folders";"Technology";"EGit";"Core";"Other";"Linux";"CLOSED";"DUPLICATE";"P3";"major"
"552677";"increase socket buffer size for tcf on vxworks";"Tools";"TCF";"Agent";"Other";"other";"RESOLVED";"FIXED";"P3";"normal"
"552678";"[14]JEP 368: Text Blocks (Second Preview)";"Eclipse Project";"JDT";"Core";"PC";"Mac OS X";"RESOLVED";"FIXED";"P1";"normal"
"552679";"Catch exceptions on session close with dirty state because a distant resource is not reachable 2";"Modeling";"Sirius";"Diagram";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552680";"Configure x-friends in platform-team properly";"Eclipse Project";"Platform";"Team";"All";"All";"RESOLVED";"FIXED";"P3";"trivial"
"552683";"refurbish IProgressMonitor by merge with IProgressMonitorWithBlocking and integrate basic functions of SubMonitor";"Eclipse Project";"Equinox";"Components";"All";"All";"RESOLVED";"FIXED";"P3";"enhancement"
"552684";"[Passage] Server should show diagnostic when address in use.";"Technology";"Passage";"General";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552685";"Use shorter text for the rebuild due to the Error/Warning settings changes";"Eclipse Project";"JDT";"UI";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"552687";"Two @Around advices on the same method lead to errors";"Tools";"AspectJ";"Compiler";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552688";"[Dark theme] Hyperlink and ImageHyperlink should inherit their container background color";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552689";"NPE in bundled image check";"Modeling";"Sirius";"Diagram";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552690";"Enable Gitpod pre-builds for sprotty repos";"Eclipse Foundation";"Community";"GitHub";"PC";"Mac OS X";"CLOSED";"FIXED";"P3";"normal"
"552691";"[Dark theme] Rename dialog has white artifacts";"Eclipse Project";"Platform";"UI";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"552692";"[call hierarchy] Filter Test Code needs view refresh";"Eclipse Project";"JDT";"UI";"PC";"Windows 10";"NEW";;"P3";"enhancement"
"552693";"[Model2Doc] The developer framework must provide a tools to unzip the full contents from an odt file";"Modeling";"Papyrus";"Model2Doc";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"552694";"JIPP for iottestware";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552695";"Archetypes out of date";"Eclipse Foundation";"z_Archived";"m2e";"All";"All";"RESOLVED";"FIXED";"P3";"major"
"552696";"Generating autocomplete from XSD using wtp.xml editor causes Ecliplse crashes";"WebTools";"WTP Source Editing";"wst.xml";"PC";"Windows 10";"NEW";;"P3";"normal"
"552697";"[Tests][API] Xtext Tests classes must be distributed as API";"Modeling";"Papyrus";"Others";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552698";"Extend Git component to correctly use git metadata";"Modeling";"Hawk";"General";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"552699";"Pomless failing";"Eclipse Foundation";"z_Archived";"Tycho";"All";"All";"CLOSED";"FIXED";"P3";"major"
"552700";"[Dark theme] Use same color for table and tree header background as for the other widgets";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"WONTFIX";"P3";"normal"
"552701";"We need to enable SonarCloud plugin for the Che4z project";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552702";"send email from leshan vserver";"Eclipse Foundation";"Community";"vservers";"PC";"Linux";"CLOSED";"WONTFIX";"P3";"normal"
"552703";"LTTng 2.11.0 ""Add Contexts..."" option displays XML file";"Tools";"Tracecompass";"LTTng";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552704";"Use pomless builds in eclipse.platform.text";"Eclipse Project";"Platform";"Text";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"552705";"Incomplete build path reported for JDK classes";"Eclipse Project";"JDT";"Core";"PC";"Linux";"RESOLVED";"NOT_ECLIPSE";"P3";"blocker"
"552706";"Tycho reports names instead of ids in its final report";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Linux";"CLOSED";"WONTFIX";"P3";"normal"
"552708";"OpenJ9: Git plugin memory leak";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552709";"windowsBuilder crashes your Eclipse";"Eclipse Foundation";"z_Archived";"WindowBuilder";"PC";"Windows 10";"RESOLVED";"DUPLICATE";"P3";"critical"
"552710";"Add External JARs selection ignored when creating a new project";"Eclipse Project";"JDT";"UI";"PC";"Windows 10";"ASSIGNED";;"P3";"normal"
"552711";"Problems are randomly omitted in various views for specific file (warnings, errors)";"Eclipse Project";"JDT";"Core";"Macintosh";"Mac OS X";"ASSIGNED";;"P3";"major"
"552712";"[performance] Package explorer context menu slow for big selection";"Eclipse Project";"Platform";"UI";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"552713";"[releng] Make Trace Compass build with Java 11";"Tools";"Tracecompass";"Releng";"PC";"Linux";"NEW";;"P3";"normal"
"552714";"Open Resources from Find Actions";"Eclipse Project";"Platform";"IDE";"All";"All";"RESOLVED";"FIXED";"P3";"enhancement"
"552715";"[Validation] Validation providers should be given the view model context";"Modeling";"ECP";"Validation";"All";"All";"CLOSED";"FIXED";"P2";"enhancement"
"552716";"Assertion: ""This code should never have executed""";"Eclipse Project";"Platform";"SWT";"PC";"Linux";"VERIFIED";"FIXED";"P3";"normal"
"552717";"Not able to login at marketplace - error message appears";"Eclipse Foundation";"Community";"Marketplace";"PC";"Linux";"RESOLVED";"FIXED";"P3";"blocker"
"552719";"[14] Making Switch Expressions available as Standard feature in DOM AST";"Eclipse Project";"JDT";"Core";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552720";"Use pomless builds in eclipse.platform.runtime";"Eclipse Project";"Platform";"Runtime";"PC";"Linux";"NEW";;"P3";"normal"
"552721";"org.eclipse.e4.ui.model.workbench has 3 API errors";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552722";"[Passage] design Registry for lic.api RequirementResolvers";"Technology";"Passage";"API";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"552724";"Typo";"Tools";"AspectJ";"Docs";"All";"All";"REOPENED";;"P3";"trivial"
"552726";"Use pomless builds in eclipse.platform.resources";"Eclipse Project";"Platform";"Resources";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552727";"TreeLayer tree icons at wrong position on collapse";"Technology";"NatTable";"Core";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552728";"[Dark Theme] Search shows white artifacts";"Eclipse Project";"Platform";"Text";"PC";"Linux";"NEW";;"P3";"normal"
"552730";"wrong archive link in welcome mail";"Eclipse Foundation";"Community";"MailingLists";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552731";"[Model2Doc] StackOverflow Error during the creation of Papyrus project";"Modeling";"Papyrus";"Model2Doc";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"blocker"
"552732";"Add two more GithHub repos for Sprotty";"Eclipse Foundation";"Community";"GitHub";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552733";"[quick assist] Add ""Use SLF4J for string concatentation""";"Eclipse Project";"JDT";"UI";"PC";"Mac OS X";"NEW";;"P3";"enhancement"
"552734";"Please enable readthedocs and travis-ci for eclipse-fog05 repos";"Eclipse Foundation";"Community";"GitHub";"PC";"Mac OS X";"CLOSED";"FIXED";"P3";"normal"
"552735";"Rename e4-dark.css to e4-dark-linux to make its usage clear";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552736";"please enable github pages for eclipse-fog05/website";"Eclipse Foundation";"Community";"GitHub";"PC";"Mac OS X";"CLOSED";"FIXED";"P3";"normal"
"552737";"TipSourceProvider needs to call layout to make its tool item in the status line visible";"Eclipse Project";"Platform";"User Assistance";"PC";"Linux";"NEW";;"P3";"normal"
"552738";"DockerConnectionManager blocks the UI thread at app startup";"Tools";"Linux Tools";"Docker";"Macintosh";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552739";"problems with code recommenders in fxml editor";"Technology";"Efxclipse";"Tooling";"PC";"Windows 7";"CLOSED";"MOVED";"P3";"blocker"
"552740";"Bug in memory View";"Eclipse Project";"Platform";"Debug";"PC";"Windows 10";"NEW";;"P3";"enhancement"
"552741";"Request for commit rights to SimRel repo - nitind / nitind@us.ibm.com";"Eclipse Foundation";"Community";"Cross-Project";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"552742";"Grant to an Eclipse account the admin access for a Jenkins instance of a specific project";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552743";"Support code format on save";"Technology";"lsp4e";"IDE";"PC";"All";"UNCONFIRMED";;"P3";"enhancement"
"552744";"Redo Error in ECC";"IoT";"4DIAC";"4DIAC-IDE";"PC";"All";"CLOSED";"FIXED";"P3";"normal"
"552745";"CI builds are failing";"Tools";"CDT";"cdt-releng";"PC";"Linux";"RESOLVED";"FIXED";"P3";"blocker"
"552746";"Building... looks weird combined with the :progress";"Eclipse Project";"Platform";"Resources";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552747";"[ELK] Layout initialization of container elements";"Modeling";"Sirius";"Diagram";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552748";"[Passage] releng/aggregator projects have incorrect artifactID";"Technology";"Passage";"General";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"552750";"Automated MyLyn Upgrades Apparently Fail because of a conflicting dependency. Is it relevant that version 3.25.0's timestamp is about 3 months before 3.24.2's?";"Mylyn";"Mylyn Tasks";"Bugzilla";"PC";"Windows 10";"NEW";;"P3";"normal"
"552751";"Remove deprecated CSS attributes";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552752";"[Passage] lic.api ConditionMinerRegistry::importConditions does not belong to the interface";"Technology";"Passage";"API";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"552753";"[Passage] lic.api ConditionMinerRegistry::getConditionMinerTarget does not belong to the interface";"Technology";"Passage";"API";"All";"All";"CLOSED";"FIXED";"P3";"normal"
"552754";"show stopper cannot export feature based product";"Eclipse Project";"PDE";"Build";"PC";"Windows 10";"NEW";;"P3";"normal"
"552756";"[1.8][compiler][inference] compile errors for method with two distinct lower bounded type params when T != T";"Eclipse Project";"JDT";"Core";"All";"All";"ASSIGNED";;"P3";"minor"
"552757";"Call Hierarchy does not show all callers";"Eclipse Project";"JDT";"UI";"PC";"Windows 7";"CLOSED";"DUPLICATE";"P3";"normal"
"552758";"The trace opened from CLI with --open is not the active one";"Tools";"Tracecompass";"RCP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552759";"Deploying MicroProfile snapshots to repo.eclipse.org";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"WORKSFORME";"P3";"normal"
"552760";"NPE on JavaAnnotationImageProvider.getQuickFixErrorImage(): No Display";"Eclipse Project";"JDT";"UI";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552761";"[release] polarsys.capella 1.4.0";"Eclipse Foundation";"Community";"Proposals and Reviews";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552762";"Selection feedback for type and comment in interface editor";"IoT";"4DIAC";"4DIAC-IDE";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552763";"Provide guidance regarding what constitutes ""cryptography""";"Eclipse Foundation";"z_Archived";"Dash Handbook";"PC";"Linux";"NEW";;"P3";"normal"
"552764";"[14] JEP 361 - Switch Expressions Standard - Change Error Codes";"Eclipse Project";"JDT";"Core";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552765";"[14] Create compliance levels for Java 14 in the UI";"Eclipse Project";"JDT";"UI";"PC";"All";"CLOSED";"DUPLICATE";"P3";"normal"
"552766";"Fix testJavadocLogs in releng tests";"Eclipse Project";"Platform";"Releng";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552767";"merge sitedocs";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552768";"Avoid showing the tips of day layout job to the user";"Eclipse Project";"Platform";"User Assistance";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552769";"[14] ComplianceDiagnoseTest.test0042 and Compliance_1_{4, 5}.test079 failures";"Eclipse Project";"JDT";"Core";"PC";"Mac OS X";"VERIFIED";"FIXED";"P3";"normal"
"552770";"Test-Error in Tycho OSGi Compiler Plugin";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Linux";"CLOSED";"WORKSFORME";"P3";"normal"
"552771";"Error when generating site";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Linux";"CLOSED";"WORKSFORME";"P3";"normal"
"552772";"Prefered Name is accpeting numeric char";"Eclipse Foundation";"Community";"Bugzilla";"PC";"Windows 7";"VERIFIED";"FIXED";"P3";"normal"
"552773";"Simplify logging in platform code base";"Eclipse Project";"Platform";"Releng";"All";"All";"RESOLVED";"FIXED";"P3";"enhancement"
"552774";"Call Hierarchy does not show all callers";"Eclipse Project";"JDT";"Core";"PC";"Windows 7";"ASSIGNED";;"P3";"normal"
"552775";"Verifying plugin.xml seems to take very long";"Eclipse Project";"PDE";"UI";"PC";"Linux";"RESOLVED";"WORKSFORME";"P3";"normal"
"552776";"UI freeze of multiple seconds during DeletePathsOperation";"Technology";"EGit";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552777";"Suppress download progress in batch mode";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Windows 10";"NEW";;"P3";"enhancement"
"552778";"[14][test] java.lang.UnsupportedClassVersionError";"Eclipse Project";"JDT";"Core";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552779";"Create a Java14 SE profile";"Eclipse Foundation";"z_Archived";"Tycho";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552780";"[Dark Theme] Unselected tabs text gets gray";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552781";"Consider invalid when ordering predicate synthesis";"Modeling";"QVTd";"Core";"PC";"Windows 10";"NEW";;"P3";"normal"
"552782";"[pivot] Extend FlowAnalysis to bad Collection indexes / divide-by-zero";"Modeling";"OCL";"Core";"PC";"Windows 10";"RESOLVED";"DUPLICATE";"P3";"normal"
"552783";"[Moka] When there is no server specified in preference the wrong preference page is open";"Modeling";"Papyrus";"Moka";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552784";"The handling of JAVA_HOME is broken in /org.eclipse.oomph.jreinfo.lib/src/jreinfo.c";"Tools";"Oomph";"Setup";"PC";"Windows 7";"RESOLVED";"FIXED";"P3";"normal"
"552785";"Please make http://fog05.io point to the github pages";"Eclipse Foundation";"Community";"Website";"PC";"Mac OS X";"CLOSED";"FIXED";"P3";"normal"
"552786";"Combobox Letter Lookahead does not select properly";"IoT";"4DIAC";"4DIAC-IDE";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552787";"ThemeEngine.setTheme slow";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552788";"PluginModelManager.getEntryTable is slow";"Eclipse Project";"PDE";"UI";"PC";"Linux";"NEW";;"P3";"normal"
"552789";"[GTK] org.eclipse.swt.widgets.Display.gtk_css_parse_foreground sticks out in Yourkit";"Eclipse Project";"Platform";"SWT";"PC";"Linux";"RESOLVED";"WORKSFORME";"P3";"normal"
"552790";"Remove usage of StringTokenizer in CSSOneOfAttributeConditionImpl";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"WONTFIX";"P3";"normal"
"552791";"Its unclear what 'surefire.properties' does";"Eclipse Foundation";"z_Archived";"Tycho";"PC";"Linux";"CLOSED";"WONTFIX";"P3";"normal"
"552792";"[metatype] Persistence StackOverflowError when reading Double";"Eclipse Project";"Equinox";"Components";"All";"All";"RESOLVED";"FIXED";"P3";"blocker"
"552793";"[Dark theme] Remove special styling for Text[style~='SWT.DROP_DOWN'] and Text[style~='SWT.POP_UP']";"Eclipse Project";"Platform";"UI";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552794";"Add a monitoring tools used to display telemetry, raise notification and alarms";"Technology";"Apogy";"General";"All";"All";"CLOSED";"FIXED";"P3";"enhancement"
"552795";"Add Fiter button to JUnit view and move Show Failure and Show Skipped Failures Only to it";"Eclipse Project";"JDT";"UI";"PC";"Linux";"NEW";;"P3";"normal"
"552796";"[Passage] Server could not bind a conditional transport properlly";"Technology";"Passage";"General";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"552797";"[GTK3] Shell flickering around edges when first popped up";"Eclipse Project";"Platform";"SWT";"PC";"Linux";"NEW";;"P3";"normal"
"552798";"jaxb2-maven-plugin incorrect path on macOS";"Eclipse Foundation";"z_Archived";"m2e";"Macintosh";"Mac OS X";"CLOSED";"NOT_ECLIPSE";"P3";"normal"
"552799";"Please protect some branches in openj9 and openj9-omr repos";"Eclipse Foundation";"Community";"GitHub";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"normal"
"552800";"[Moka] When remove debug assistant in customization the exception is still send";"Modeling";"Papyrus";"Moka";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552801";"400 Bad Request Request Header Or Cookie Too Large";"Eclipse Foundation";"Community";"CI-Jenkins";"PC";"Linux";"CLOSED";"DUPLICATE";"P3";"normal"
"552802";"Failed to write core dump. Minidumps are not enabled by default on client versions of Windows";"Eclipse Foundation";"z_Archived";"WindowBuilder";"PC";"Windows 10";"RESOLVED";"DUPLICATE";"P3";"normal"
"552803";"NPE in bundled image check";"Modeling";"Sirius";"Diagram";"PC";"All";"CLOSED";"FIXED";"P3";"normal"
"552804";"Please add this event to the events.eclipse.org page";"Eclipse Foundation";"z_Archived";"Events.eclipse.org";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
"552805";"[proposal] technology.skills";"Eclipse Foundation";"Community";"Proposals and Reviews";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552806";"[mentor] Mentor required for Eclipse Skills";"Eclipse Foundation";"Community";"Architecture Council";"PC";"Linux";"CLOSED";"FIXED";"P3";"normal"
"552807";"[trademark] Trademark approval required for Eclipse Skills";"Eclipse Foundation";"Community";"EMO Approvals";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"552808";"[proposal] iot.streamsheets";"Eclipse Foundation";"Community";"Proposals and Reviews";"PC";"Mac OS X";"NEW";;"P3";"normal"
"552809";"[mentor] Mentor required for Eclipse Streamsheets";"Eclipse Foundation";"Community";"Architecture Council";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"normal"
